"","pID","condition","know_pd_1","know_pd_2","know_pd_3","know_pd_4","l_cards","donate_1","motivation_1","motivation_2","motivation_3","motivation_4","motivation_5","motivation_6","motivation_7","motivation_8","motivation_9","motivation_10","motivation_11","motivation_12","motivation_13","motivation_14","motivation_15","motivation_16","motivation_17","motivation_18","motivation_19","motivation_20","motivation_21","motivation_22","motivation_23","motivation_24","motivation_25","motivation_26","motivation_27","motivation_28","motivation_29","motivation_30","Gender","Age","Birth","Country","Qualificat","Employment","Profession","prosoc_1","prosoc_2","prosoc_3","prosoc_4","prosoc_5","prosoc_6","prosoc_7","prosoc_8","prosoc_9","prosoc_10","prosoc_11","prosoc_12","prosoc_13","prosoc_14","prosoc_15","prosoc_16","prosoc_17","prosoc_18","prosoc_19","prosoc_20","prosoc_21","prosoc_22","prosoc_23","alt_beh1","alt_beh2","alt_beh3","alt_beh4","alt_beh5","alt_beh6","alt_beh7","alt_beh9","alt_beh8","alt_beh11","alt_beh14","alt_beh10","alt_beh12","alt_beh13","empathy_1","empathy_2","empathy_3","empathy_4","empathy_5","empathy_7","empathy_8","empathy_9","empathy_10","empathy_11","empathy_12","empathy_13","empathy_14","empathy_15","empathy_16","empathy_17","empathy_18","empathy_19","empathy_20","empathy_21","empathy_22","empathy_23","empathy_24","empathy_25","empathy_6","empathy_26","empathy_27","empathy_28","big5_1","big5_2","big5_3","big5_4","big5_5","big5_6","big5_7","big5_8","big5_9","big5_10","big5_11","big5_12","big5_13","big5_14","big5_15","big5_16","big5_17","big5_18","big5_19","big5_20","big5_21","big5_22","big5_23","big5_24","big5_25","big5_26","big5_27","big5_28","big5_29","big5_30","big5_31","big5_32","big5_33","big5_34","big5_35"
"827",827,2,NA,NA,1,NA,NA,6,3,5,4,3,4,2,4,1,4,4,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"833",833,2,NA,1,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"834",834,2,NA,1,NA,NA,NA,6,5,5,4,4,4,5,3,4,5,4,4,3,4,3,3,4,5,5,5,3,3,5,4,4,4,4,5,4,4,4,1,24,2,1,6,2,"IT Consultant",5,4,4,4,4,4,5,4,4,4,5,5,5,4,5,4,5,4,3,5,4,5,5,5,5,5,5,4,5,5,4,4,4,4,4,4,4,5,4,5,4,4,4,5,5,5,5,5,4,4,5,5,4,5,4,4,5,5,4,5,5,4,4,4,4,7,9,9,8,5,8,8,8,7,8,7,7,7,6,8,5,8,6,6,5,6,6,7,6,7,8,6,9,9,7,5,7,9,7,8
"844",844,2,NA,1,NA,NA,NA,2,2,4,2,2,4,1,5,1,3,1,2,1,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"846",846,2,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"847",847,2,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"853",853,2,NA,1,1,NA,NA,7,3,5,3,2,5,3,5,2,3,2,4,3,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"856",856,2,NA,1,NA,NA,NA,5,4,5,4,4,5,3,4,2,2,3,4,3,4,3,1,5,3,5,3,4,1,5,5,3,5,3,3,4,2,2,2,25,1,1,6,5,"",1,3,1,1,1,3,4,5,2,4,2,2,1,3,3,1,2,4,4,1,1,1,2,5,3,3,4,4,3,4,2,5,2,3,3,3,4,4,3,3,1,4,2,5,5,2,4,1,2,1,2,3,3,1,4,4,4,3,3,1,4,3,3,1,3,2,7,5,5,5,5,4,7,8,8,6,7,6,7,7,9,9,9,9,8,6,8,4,4,8,7,7,3,8,9,9,8,7,7,6
"861",861,2,NA,1,NA,NA,NA,6,4,5,3,4,5,3,5,2,4,2,3,2,4,4,2,5,4,4,3,4,2,5,4,2,5,2,3,4,3,3,1,29,2,1,5,5,"",2,5,4,3,3,4,4,2,3,3,3,3,3,4,3,2,4,3,3,2,4,3,4,5,2,3,3,4,3,5,1,2,2,4,4,4,1,5,4,2,3,5,2,3,4,4,3,2,2,3,3,5,4,2,3,5,5,4,5,3,3,4,5,4,3,2,7,7,4,7,3,9,9,8,9,6,8,8,6,6,8,7,9,4,5,4,9,7,4,7,2,3,8,7,8,7,8,5,5,7
"862",862,2,1,NA,NA,NA,NA,5,4,3,4,4,4,4,4,2,3,2,4,2,4,4,2,4,4,4,3,3,3,4,3,4,5,2,4,4,3,5,1,18,1,1,3,5,"",2,2,2,2,2,3,4,3,2,2,3,3,2,4,2,2,2,4,2,3,2,2,3,3,3,2,4,4,1,3,1,2,1,1,1,4,1,4,3,2,4,4,2,4,4,4,3,2,4,2,3,4,2,2,3,2,5,4,3,2,3,2,3,3,2,2,7,5,6,4,8,5,6,5,6,5,7,7,4,7,7,4,6,7,7,5,7,7,6,4,8,7,7,8,9,6,6,5,6,7
"864",864,2,NA,1,1,NA,NA,7,3,4,4,2,5,2,5,1,2,2,3,3,4,4,2,5,4,5,3,5,2,5,3,3,4,1,3,2,3,4,2,25,2,1,5,5,"",2,4,3,2,1,4,3,3,2,2,4,4,2,3,2,1,5,3,3,2,4,2,2,4,3,2,3,5,4,4,3,5,5,3,3,4,3,4,4,2,3,1,3,3,4,4,4,1,2,2,3,4,2,2,4,4,5,4,4,1,4,3,4,2,4,2,6,3,5,6,6,8,7,7,8,5,8,7,7,9,8,8,8,8,9,7,6,5,6,5,6,7,3,7,8,7,8,7,7,6
"879",879,2,NA,1,NA,NA,NA,3,3,4,3,2,4,2,4,2,2,3,3,2,2,2,2,4,3,4,3,4,2,4,3,2,4,2,3,2,2,3,2,22,1,1,5,5,"",2,4,2,2,2,3,3,3,2,3,3,4,2,3,3,2,3,3,4,2,3,3,2,3,3,3,3,2,3,3,1,3,2,3,3,2,3,4,3,2,3,4,2,4,4,4,4,1,3,3,3,4,2,2,3,4,4,3,4,2,3,2,5,2,3,5,6,6,7,6,6,5,5,6,6,5,5,5,5,6,6,7,6,6,6,3,5,4,6,4,5,5,7,6,6,6,5,6,7,7
"893",893,2,NA,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,3,1,1,1,1,1,1,1,2,20,1,1,3,5,"",1,4,1,1,1,4,4,5,4,5,4,3,1,2,4,1,3,4,5,1,1,1,1,5,3,5,5,5,4,4,1,4,5,1,2,5,3,1,5,1,5,1,3,5,5,1,5,3,5,1,5,1,1,1,5,5,5,5,1,1,5,1,1,1,5,5,5,4,7,5,7,2,9,9,9,8,7,7,9,4,9,9,6,7,8,7,7,7,7,8,8,9,3,8,8,9,4,6,7,8
"906",906,2,NA,1,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"912",912,2,NA,1,NA,NA,NA,4,3,5,5,4,3,3,4,3,4,4,3,4,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"913",913,2,1,NA,NA,NA,4,3,3,5,4,4,5,2,4,4,3,2,4,4,4,4,2,5,4,5,4,5,3,5,1,3,5,2,4,4,3,4,1,29,1,1,6,3,"",1,4,1,3,1,3,3,5,2,1,2,4,2,2,1,1,5,3,3,1,4,4,2,4,3,3,2,1,3,4,1,5,2,2,3,3,2,5,4,2,2,4,2,5,4,4,5,2,3,2,4,3,4,2,4,3,4,4,3,2,4,3,3,3,4,3,3,4,4,6,3,3,6,8,7,5,8,6,7,2,3,6,8,4,7,7,7,4,4,5,3,3,6,7,8,8,7,8,9,6
"915",915,2,NA,1,NA,NA,4,7,4,5,2,2,4,4,4,2,2,2,5,2,4,3,2,2,5,4,5,5,2,2,5,4,2,3,2,2,4,4,2,19,1,1,5,5,"",1,4,2,1,2,5,4,5,2,3,4,4,1,5,3,2,4,3,4,1,4,5,1,4,3,3,4,5,3,3,1,3,1,3,3,3,2,5,5,2,4,1,3,4,4,2,4,1,2,2,2,1,1,4,4,4,5,2,1,2,2,1,1,1,4,7,9,7,6,8,9,9,6,8,7,5,8,2,8,9,8,9,8,5,9,5,5,8,7,7,9,9,4,8,6,9,8,9,8,8
"919",919,2,NA,1,1,NA,4,7,4,5,4,3,5,3,5,1,3,2,2,2,4,2,4,5,5,5,5,5,5,5,5,4,5,3,5,3,4,5,2,20,1,1,3,5,"Customer Service",2,5,1,2,2,5,4,3,5,1,3,5,1,5,5,1,4,4,4,1,5,1,3,5,1,3,5,3,5,5,1,4,3,3,4,5,5,5,5,1,1,5,1,5,5,2,4,1,2,1,2,5,4,2,5,5,5,5,5,1,3,3,5,1,4,1,8,3,2,8,6,6,9,9,8,5,7,9,5,7,9,7,7,7,7,5,6,6,4,5,6,8,2,7,8,8,7,6,5,9
"920",920,2,NA,1,NA,NA,5,2,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,23,2,1,5,7,"Social researcher",3,3,1,1,4,4,4,5,4,3,3,4,1,4,5,4,3,4,3,1,4,3,2,5,4,5,5,5,4,4,1,5,1,5,4,5,1,3,4,3,1,3,4,4,5,3,4,2,2,1,1,2,3,1,3,5,3,4,3,3,5,3,5,4,4,5,6,5,5,6,6,5,6,7,7,3,6,7,6,4,3,8,6,2,7,6,2,5,6,2,4,5,5,5,8,7,5,7,6,5
"924",924,2,NA,1,NA,NA,4,2,4,4,3,2,4,2,4,3,2,3,2,1,3,2,1,4,2,4,2,4,2,4,2,2,4,3,2,2,3,2,2,21,1,1,3,5,"",1,2,1,1,1,2,3,3,1,1,3,2,1,2,3,1,2,3,3,1,3,1,1,4,3,3,4,4,4,5,1,4,3,3,3,3,3,5,4,1,1,5,1,3,4,4,3,1,1,1,2,4,2,1,2,5,3,4,4,3,2,3,5,2,3,1,3,2,1,3,2,2,1,1,1,1,3,3,3,6,3,1,1,2,3,5,2,5,3,2,4,4,5,7,1,1,7,1,1,2
"934",934,2,NA,1,NA,NA,5,2,4,5,4,2,5,3,5,3,3,3,4,2,4,3,2,5,3,5,4,5,3,5,2,2,5,2,4,3,4,3,1,18,1,1,3,5,"",1,4,1,1,1,1,5,2,2,4,1,3,1,1,4,1,1,5,3,1,1,2,2,3,1,1,1,3,2,4,1,5,1,1,2,4,1,1,4,2,1,3,4,4,4,4,4,2,1,2,2,3,4,1,2,4,4,5,3,4,5,3,5,3,4,4,6,2,3,6,5,4,7,8,7,6,5,9,8,8,8,5,7,7,9,4,7,7,3,3,7,6,3,8,8,8,4,6,6,6
"937",937,2,NA,1,NA,NA,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"939",939,2,NA,1,NA,NA,4,4,4,5,3,3,5,1,2,4,2,1,4,2,4,4,1,4,4,4,3,5,2,4,4,3,5,2,2,4,3,2,2,54,2,1,5,2,"Administration",1,2,1,1,1,4,3,5,1,1,3,3,1,3,3,1,3,1,2,1,3,2,1,4,3,3,5,4,3,4,1,4,5,1,3,1,3,1,4,1,1,5,2,5,4,4,5,1,3,2,2,4,5,1,3,5,5,4,4,3,5,5,4,2,5,5,5,5,5,6,3,5,8,8,8,5,7,5,6,9,7,8,5,6,8,4,6,5,8,7,6,9,3,7,7,8,5,7,5,5
"948",948,2,NA,1,NA,NA,5,4,3,5,4,3,5,3,3,2,1,2,4,1,3,3,2,4,3,4,3,1,1,4,3,1,4,1,1,1,3,5,2,23,2,1,6,5,"",1,4,1,1,1,3,3,2,4,1,3,2,1,4,3,2,3,3,4,4,1,1,2,3,2,1,4,3,3,5,1,3,1,1,1,5,3,5,1,2,3,5,2,4,3,2,4,2,4,3,2,3,4,2,4,2,4,1,3,1,2,2,5,1,3,2,8,4,5,9,5,9,5,6,6,5,6,6,5,9,7,6,9,7,7,6,7,7,6,6,8,6,7,8,7,7,7,9,5,4
"953",953,2,NA,1,NA,NA,4,2,2,5,2,2,4,2,4,1,2,2,4,2,2,2,2,4,2,4,3,4,2,4,2,2,4,2,2,2,2,2,1,58,2,1,6,1,"University lecturer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"958",958,2,NA,1,NA,NA,4,3,2,5,3,2,4,2,5,3,1,3,3,1,2,2,2,4,3,5,3,3,2,5,4,3,4,2,3,2,2,1,2,25,2,1,6,5,"",1,2,1,2,1,4,3,4,2,2,4,2,1,3,4,1,1,4,4,2,2,4,1,4,1,3,4,3,3,5,1,3,3,3,2,3,3,2,4,2,2,3,2,4,3,2,4,1,3,3,2,3,3,1,3,4,5,3,4,3,4,2,4,2,4,6,8,6,6,8,8,6,8,7,7,7,7,8,7,7,8,8,6,8,8,5,6,6,6,6,6,8,3,7,8,7,8,7,6,7
"963",963,2,NA,1,NA,NA,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"965",965,2,NA,1,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"967",967,2,NA,1,1,NA,4,7,5,5,4,3,5,4,5,3,4,5,2,3,5,4,1,5,5,1,4,5,1,5,5,4,5,2,5,4,3,1,1,64,1,1,6,1,"university professor (in Computer Science)",1,5,1,1,1,5,3,2,4,5,5,5,1,2,5,1,2,3,3,1,5,3,1,5,4,4,4,3,4,4,3,3,4,3,3,3,1,5,5,1,3,5,1,5,5,4,5,1,1,1,1,5,4,1,4,5,5,5,5,1,4,4,5,1,3,3,4,4,3,3,2,5,7,8,9,8,7,6,7,2,7,5,2,6,4,7,4,1,1,4,3,1,3,9,9,9,7,9,9,7
"985",985,2,NA,1,NA,NA,4,6,4,2,3,4,2,4,3,3,2,2,4,2,4,3,2,2,3,3,2,3,2,2,4,2,2,2,3,3,2,2,2,18,1,1,3,5,"",2,3,3,3,2,3,4,3,3,4,3,3,2,4,3,1,4,4,3,4,3,1,2,4,3,2,2,1,1,4,1,3,1,2,1,4,1,4,2,2,1,4,1,2,2,2,2,2,2,3,4,2,1,3,3,4,4,2,4,2,1,4,4,3,2,5,6,7,6,7,6,7,7,6,7,6,6,7,5,7,7,6,6,5,7,5,8,7,8,5,7,8,6,8,7,5,7,7,8,6
"996",996,2,1,NA,NA,NA,4,2,3,5,3,3,5,2,4,3,3,3,3,3,3,3,3,5,3,5,3,5,3,5,3,3,4,3,4,3,4,3,2,20,1,1,5,5,"",2,3,1,1,1,4,4,2,4,1,4,3,1,4,3,1,4,4,4,2,3,2,3,5,4,4,4,3,4,5,2,4,5,2,5,5,3,5,5,1,1,5,1,4,5,1,5,1,4,1,3,4,1,1,4,5,4,4,4,1,4,2,5,1,5,7,7,7,5,9,8,5,7,8,8,5,5,2,5,8,8,9,5,8,8,5,5,2,5,2,4,5,1,8,9,9,9,4,5,5
"1002",1002,2,NA,1,NA,NA,4,5,4,5,3,4,5,2,3,1,3,2,4,1,3,4,1,5,3,5,2,5,1,5,3,1,5,2,2,3,2,3,2,49,1,1,6,5,"N/a currently. I was a Basic Skills Teacher (FE)",1,2,1,1,1,2,2,3,2,1,2,2,1,2,1,1,2,2,1,1,2,2,1,4,3,5,5,3,3,5,1,4,5,3,3,3,4,4,5,2,1,4,1,5,5,4,5,1,2,1,2,4,2,1,4,5,5,5,4,1,4,4,4,1,4,8,7,9,8,7,8,6,9,9,8,2,8,7,1,4,8,9,7,7,7,3,7,6,4,5,7,7,2,7,9,9,9,7,6,3
"1005",1005,2,1,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1008",1008,2,1,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1012",1012,2,NA,1,NA,NA,5,4,5,5,4,3,3,4,4,4,4,4,4,4,4,5,3,4,4,4,4,3,4,4,4,3,3,4,4,4,3,3,1,18,1,1,3,5,"",1,5,1,1,4,3,4,2,5,4,3,5,2,4,3,1,4,5,4,1,5,1,1,4,2,3,3,1,1,1,1,5,1,2,3,4,2,5,4,3,1,4,4,4,3,5,5,1,4,1,3,5,3,1,4,5,5,5,4,4,1,3,4,2,3,1,7,5,8,6,1,7,8,8,9,6,8,9,6,8,7,8,2,9,8,5,9,4,3,1,2,6,1,3,9,2,7,5,2,5
"1013",1013,2,NA,1,NA,NA,4,7,5,4,5,5,4,4,4,3,4,3,4,4,4,4,2,3,3,5,4,5,3,4,3,3,4,3,4,5,3,3,2,48,1,1,6,2,"Administrator for Research projects",2,4,3,2,2,5,4,5,3,4,3,4,3,4,3,1,3,4,3,4,4,3,2,5,5,5,5,4,4,5,1,5,5,5,4,5,5,3,5,2,3,4,2,4,4,4,4,1,3,2,3,4,3,2,3,4,4,2,4,4,3,3,4,2,3,8,7,8,7,8,7,5,8,8,8,5,7,7,7,7,8,7,8,7,5,4,5,8,8,7,8,8,7,6,6,8,6,8,7,7
"1016",1016,2,NA,1,NA,NA,5,2,4,5,3,4,5,1,5,1,1,1,3,1,4,4,1,5,4,5,4,5,1,4,3,1,4,2,3,4,1,1,2,22,2,1,6,5,"",1,5,1,1,2,4,3,3,4,1,3,5,1,4,4,1,1,3,1,1,4,1,1,5,3,3,2,3,3,4,3,5,1,1,2,4,1,3,4,2,3,4,3,4,5,1,4,1,1,1,2,3,2,1,4,4,4,3,5,1,4,1,5,1,3,4,7,7,9,7,9,9,6,7,6,8,7,7,8,7,9,7,6,8,8,4,6,7,5,6,6,7,3,9,9,6,9,9,9,7
